id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1245129212824039425
1245128912348250114
1245128841112231937
1245128209982787599
1245128001261654018
1245127921158754311
1245127787939332101
1245127567830589447
1245127544187346944
1245127446460014605
1245127043332943883
1245126696371699714
1245126464716095488
1245126229403013121
1245126163179200512
1245126057361096704
1245125696931979264
1245125574156324865
1245125378546466816
1245124954259099653
1245124692974977024
1245124146117443584
1245123951564554242
1245123705337974785
1245123699105292295
1245123324319092737
1245123189262467074
1245122792514879494
1245122567112884229
1245122564944465920
1245122451706728450
1245122022251913225
1245121845327728641
1245121765476573187
1245121320796463104
1245121222091956225
1245120961990537217
1245120896622346249
1245120853890732036
1245120826778816512
1245120656301330437
1245120281724641281
1245120233142132736
1245120166754758659
1245119893210619907
1245119751308881922
1245119686779580426
1245119632001949702
1245119554981892096
1245119529467949056
1245119503857594371
1245119468365381633
1245119454859665408
1245119365932101633
1245119245253586944
1245119113082568704
1245119023257391104
1245118265967415296
1245118258677788674
1245118208455118848
1245118136074076164
1245138738356854785,richdunleave
1245138640864509952,neilellis
1245138116429647874,chlo_douglas
1245138098998173696,harajukukitchen
1245137885684211712,makeamilly1
1245137767207665667,crchew
1245137560260825089,unnesmenfess
1245137343050383360,lukehennessey
1245137130797531138,jakehewkin
1245136910932197383,richdunleave
1245136698314498050,flowm0ve
1245136575479967744,goodwincharlie
1245136264736669696,neilellis
1245136203785154566,neetal4u
1245135397145006085,beckyawhitworth
1245135022337785856,supersam5
1245134925180874756,ohimtb
1245134559320125447,suetigee
1245134523152699392,trashywaifu
1245134232348917760,neilellis
1245134164426461187,saif_saifridha
1245133821961527297,busspringburn
1245133721524723717,gcamorahan
1245133219986628609,neilellis
1245133191616266241,nelsonvgc
1245132910803456002,roger_lfc
1245132867656732673,rachel_adams25
1245132822785986560,makeamilly1
1245132446569553920,travellingms
1245132388642029576,emilyflinx
1245131690848239618,barganews
1245131338262470663,samzfit
1245131193370267649,neilellis
1245131032317353986,siphophani
1245130772228517888,lance63
1245130709167194112,barkingmadsport
1245130667958173700,sjlovell81
1245130576052527110,social_equality
1245130152738205696,faddi73
1245129212824039425,itssofiaa
1245128912348250114,imranalime
1245128841112231937,warblefly
1245128209982787599,imranalime
1245128001261654018,thevitalspark01
1245127921158754311,webcamdordrecht
1245127787939332101,foxblade98
1245127567830589447,vixharmervicky
1245127544187346944,birch_95
1245127446460014605,kateread
1245127043332943883,wafaanawaz
1245126696371699714,mazzerpazzer
1245126464716095488,richdunleave
1245126229403013121,aaron_bannigan
1245126163179200512,nickarkell
1245126057361096704,mwfrost
1245125696931979264,mikeybree
1245125574156324865,changeling_1
1245125378546466816,cambridgebarber
1245124954259099653,thatpaulbloomer
1245124692974977024,kimmysut
1245124146117443584,mr_ml07
1245123951564554242,rex_collie
1245123705337974785,hollyemmaharri1
1245123699105292295,nate__james
1245123324319092737,getjamiebacon
